Sales,Product
$44874921.10,Tailspin Heli - Max Pro Flight - 6ch
$9530960.15,6CCP-A Helicopter
$7728618.80,Piper Cub 4 Channel
$5450602.05,P47 5 Channel
$1605862.40,Tailspin Heli - Co-Ax Pro Mk I - 4ch
$1455897.75,Tailspin Aviator Mk2-15
$1453235.60,Tailspin Warbird BM32
$1284627.85,3CAX-B Helicopter
$1225510.80,Tailspin Aviator Mk2-12
$949895.65,P51
$947815.10,SkyTrainer
$499292.15,P47 4 Channel
$490673.60,Piper Cub 3 Channel
$472215.30,Trainer - Tailspin GL-155
$206465.15,4CAX-B Helicopter
$183147.55,Trainer - Tailspin GL-120
$173362.95,3CFP-I Helicopter
$119821.15,Tailspin Aviator Mk2-11
